"<p>Was sind zentrale Ziele der Dimensionsreduktion?</p>","<ul><li>Aufdeckung versteckter <strong>Korrelationen</strong></li><li>Entfernung <strong>redundanter</strong> und <strong>verrauschter</strong> Merkmale</li><li><strong>Leichtere Interpretation</strong> und <strong>Visualisierung</strong></li><li><strong>Schnellere Speicherung</strong> und <strong>Verarbeitung</strong></li></ul>","week-3 ws-25-26 dimension-reduction goals data-mining source::kapitel-3---folien-(neu)"
"<p>Was ist das Grundprinzip der Dimensionsreduktion über Projektion?</p>","<blockquote>Liegen Datenpunkte nahe einem <strong>d-dimensionalen Unterraum</strong>, werden sie durch ihre <strong>Projektionen</strong> auf diesen Unterraum repräsentiert.</blockquote>","week-3 ws-25-26 dimension-reduction principle data-mining source::kapitel-3---folien-(neu)"
"<p>Wie werden die Achsen des Unterraums bei der varianz-basierten Dimensionsreduktion gewählt?</p>","<ul><li><strong>1. Faktor:</strong> Richtung mit der größten Streuung (maximale Varianz).</li><li><strong>Weitere Faktoren:</strong> jeweils <strong>orthogonal</strong> zu den vorherigen und mit maximaler verbleibender Varianz.</li></ul>","week-3 ws-25-26 dimension-reduction factors data-mining source::kapitel-3---folien-(neu)"
"<p>Was ist die Hauptkomponentenanalyse (PCA)?</p>","<blockquote>Ein Verfahren der multivariaten Statistik und Linearen Algebra, das Daten durch eine <strong>lineare Transformation</strong> auf <strong>Hauptkomponenten</strong> projiziert und so eine <strong>beste lineare Approximation</strong> liefert.</blockquote>","week-3 ws-25-26 pca definition linear-algebra data-mining source::kapitel-3---folien-(neu)"
"<p>Welche drei Hauptschritte umfasst die PCA?</p>","<ol><li><strong>Translation (Zentrierung):</strong> Mittelwert der Spalten auf 0 setzen.</li><li><strong>Rotation:</strong> Kovarianzmatrix bilden und Eigenvektoren bestimmen.</li><li><strong>Projektion:</strong> Daten auf die (wichtigsten) Hauptachsen projizieren.</li></ol>","week-3 ws-25-26 pca procedure linear-algebra data-mining source::kapitel-3---folien-(neu)"
"<p>Welche Rolle spielen Eigenvektoren und Eigenwerte in der PCA?</p>","<ul><li><strong>Eigenvektoren</strong> (Ladungsvektoren) definieren die <strong>Hauptachsen</strong> und sind orthonormal.</li><li><strong>Eigenwerte</strong> geben die <strong>Varianz</strong> entlang der jeweiligen Hauptachse an.</li><li>Die Komponenten werden nach <strong>absteigenden Eigenwerten</strong> sortiert.</li></ul>","week-3 ws-25-26 pca eigenvectors linear-algebra data-mining source::kapitel-3---folien-(neu)"
"<p>Wie wählt man in der PCA die Anzahl der Hauptkomponenten?</p>","<blockquote>Wähle so viele Komponenten, dass der <strong>kumulierte erklärte Varianzanteil</strong> hoch ist und eine weitere Komponente den Anteil nur noch <strong>gering</strong> erhöht.</blockquote>","week-3 ws-25-26 pca model-selection statistics data-mining source::kapitel-3---folien-(neu)"
"<p>Was ist die Singulärwertzerlegung (SVD)?</p>","<blockquote>Eine Zerlegung einer Matrix in <strong>U</strong>, <strong>Σ</strong> und <strong>Vᵀ</strong>: U und V haben orthonormale Spalten, Σ ist diagonal mit <strong>nicht-negativen Singulärwerten</strong>, r ist der Rang der Matrix.</blockquote>","week-3 ws-25-26 svd definition linear-algebra data-mining source::kapitel-3---folien-(neu)"
"<p>Inwiefern ist SVD eine Verallgemeinerung der PCA?</p>","<blockquote>SVD verallgemeinert PCA auf <strong>allgemeine (auch rechteckige) Matrizen</strong>; PCA lässt sich als spezielle Anwendung der SVD verstehen.</blockquote>","week-3 ws-25-26 svd pca relationship linear-algebra data-mining source::kapitel-3---folien-(neu)"
"<p>Wie nutzt man SVD zur Dimensionsreduktion?</p>","<blockquote>Man behält die <strong>größten Singulärwerte</strong> und setzt kleine Singulärwerte auf 0; so erhält man eine <strong>Rang-k-Approximation</strong> der Daten.</blockquote>","week-3 ws-25-26 svd dimension-reduction linear-algebra data-mining source::kapitel-3---folien-(neu)"
"<p>Welches Kriterium wird für die Wahl von k bei SVD genannt?</p>","<blockquote>Behalte typischerweise <strong>80–90&nbsp;% der Energie</strong> (Summe der quadrierten Singulärwerte), um einen guten Kompromiss zwischen Kompression und Genauigkeit zu erhalten.</blockquote>","week-3 ws-25-26 svd model-selection linear-algebra data-mining source::kapitel-3---folien-(neu)"
