"Was ist die Grobdefinition eines Data Warehouse?","Eine für Analysezwecke optimierte zentrale Datenbank, die Daten aus mehreren meist heterogenen Quellen integriert, transformiert und verdichtet","week-1 ws25-26 data-warehousing definition source::kapitel-1-data-warehouses---einfuehrung"
"Welches Grundproblem soll Data Warehousing in Unternehmen lösen?","Unternehmen besitzen große Datenmengen, können daraus aber ohne geeignete Aufbereitung oft nicht genug entscheidungsrelevante Informationen ableiten","week-1 ws25-26 data-warehousing motivation source::kapitel-1-data-warehouses---einfuehrung"
"Welche vier Kerneigenschaften definiert Inmon für ein Data Warehouse?","<ul><li><strong>Subject-oriented</strong></li><li><strong>Integrated</strong></li><li><strong>Non-volatile</strong></li><li><strong>Time-variant</strong></li></ul>","week-1 ws25-26 data-warehousing inmon source::kapitel-1-data-warehouses---einfuehrung"
"Was bedeutet subject-oriented im Kontext eines Data Warehouse?","Daten werden themenorientiert über Subjekte wie Kunden, Produkte oder Regionen organisiert statt entlang einzelner operativer Anwendungen","week-1 ws25-26 data-warehousing inmon-subject-oriented source::kapitel-1-data-warehouses---einfuehrung"
"Was bedeutet integrated im Kontext eines Data Warehouse?","Daten aus verschiedenen operativen Quellen werden in ein einheitliches, konsistentes Format überführt","week-1 ws25-26 data-warehousing inmon-integrated source::kapitel-1-data-warehouses---einfuehrung"
"Was bedeutet non-volatile im Kontext eines Data Warehouse?","Nach dem Laden werden Daten typischerweise nicht mehr laufend durch Update, Delete oder Insert verändert, sondern stabil für Analysen bereitgehalten","week-1 ws25-26 data-warehousing inmon-non-volatile source::kapitel-1-data-warehouses---einfuehrung"
"Was bedeutet time-variant im Kontext eines Data Warehouse?","Ein Data Warehouse speichert historisierte Daten mit explizitem Zeitbezug über längere Zeiträume, sodass Zeitreihen- und Vergleichsanalysen möglich werden","week-1 ws25-26 data-warehousing inmon-time-variant source::kapitel-1-data-warehouses---einfuehrung"
"Was ist der Kernunterschied zwischen OLTP und OLAP?","<table><thead><tr><th>OLTP</th><th>OLAP</th></tr></thead><tbody><tr><td>Tagesgeschäft und Transaktionen</td><td>Analyse und Entscheidungsunterstützung</td></tr><tr><td>Sehr häufige kurze Zugriffe, auch schreibend</td><td>Moderate Zugriffe auf große Datenmengen, vorwiegend lesend</td></tr><tr><td>Hoher Durchsatz und sehr kurze Antwortzeiten</td><td>Gute Antwortzeiten für komplexe Analysen</td></tr></tbody></table><br><br><div class=""legend"">OLTP: Online Transaction Processing<br>OLAP: Online Analytical Processing</div>","week-1 ws25-26 data-warehousing oltp-vs-olap source::kapitel-1-data-warehouses---einfuehrung"
"Warum wird ein Data Warehouse oft separat von operativen Datenbanken betrieben?","<ul><li>Unterschiedliche Nutzung und Datenstrukturierung</li><li>Historisierte und konsolidierte Daten sind erforderlich</li><li>Komplexe Analysen sollen operative Transaktionen nicht ausbremsen</li><li>Analytische Systeme benötigen eigenes logisches und physisches Datenmodell</li></ul>","week-1 ws25-26 data-warehousing separation source::kapitel-1-data-warehouses---einfuehrung"
"Welche Nachteile hat ein separates Data Warehouse laut Einführung?","<ul><li>Datenredundanz</li><li>Daten sind nicht vollständig aktuell</li><li>Hoher Administrationsaufwand</li><li>Hohe Kosten</li></ul>","week-1 ws25-26 data-warehousing tradeoffs source::kapitel-1-data-warehouses---einfuehrung"
"Welche Hauptbausteine umfasst die Grobarchitektur einer Data-Warehouse-Umgebung?","<ul><li>Datenquellen intern und extern</li><li>Daten-Extraktion, Transformation und Laden in die zentrale Datenbasis</li><li>Zentrales Data Warehouse mit Metadaten</li><li>Data Marts und Cubes</li><li>Front-End für Berichte, Abfragen und Entscheidungsunterstützung</li></ul><br><br><div class=""legend"">ETL: Extract, Transform, Load</div>","week-1 ws25-26 data-warehousing architecture source::kapitel-1-data-warehouses---einfuehrung"
"Worin unterscheiden sich physische und virtuelle Datenintegration?","<table><thead><tr><th>Physische Integration</th><th>Virtuelle Integration</th></tr></thead><tbody><tr><td>Daten werden vorab in ein Data Warehouse geladen</td><td>Daten bleiben in den Quellen und werden zur Anfragezeit integriert</td></tr><tr><td>Aufbereitung und Bereinigung vorab möglich</td><td>Höhere Quellautonomie, aber Integration zur Laufzeit</td></tr><tr><td>Gut für große Analysevolumina</td><td>Abhängig von Laufzeitverfügbarkeit und Performance der Quellen</td></tr></tbody></table>","week-1 ws25-26 data-warehousing data-integration source::kapitel-1-data-warehouses---einfuehrung"
"Was sind Kennzahlen und Dimensionen in der mehrdimensionalen Datensicht?","<ul><li><strong>Kennzahlen</strong> sind numerische Fakten als Grundlage für Aggregationen und Berechnungen</li><li><strong>Dimensionen</strong> sind beschreibende Perspektiven wie Zeit, Region oder Branche</li></ul>","week-1 ws25-26 data-warehousing multidimensional-model source::kapitel-1-data-warehouses---einfuehrung"
"Was unterscheidet Aggregierung von Slicing und Dicing in OLAP-Analysen?","<ul><li><strong>Aggregierung</strong> fasst Kennzahlen über eine oder mehrere Dimensionen zusammen</li><li><strong>Slicing und Dicing</strong> schränken Wertebereiche in Dimensionen gezielt ein</li></ul><br><br><div class=""legend"">OLAP: Online Analytical Processing</div>","week-1 ws25-26 data-warehousing olap-operations source::kapitel-1-data-warehouses---einfuehrung"
"Was ist der Unterschied zwischen Drill-Down und Roll-Up?","<ul><li><strong>Drill-Down</strong> wechselt zu feineren Detailebenen einer Dimension</li><li><strong>Roll-Up</strong> verdichtet auf höhere, gröbere Hierarchieebenen</li></ul>","week-1 ws25-26 data-warehousing hierarchy-operations source::kapitel-1-data-warehouses---einfuehrung"
"Wie ist ein Star-Schema aufgebaut?","Eine zentrale Faktentabelle mit Kennzahlen wird über Schlüssel mit jeweils einer Dimensionstabelle pro Analyseperspektive verbunden","week-1 ws25-26 data-warehousing star-schema source::kapitel-1-data-warehouses---einfuehrung"
"Wie funktioniert eine typische Star-Join-Anfrage im Star-Schema?","<ol><li>Relevante Dimensionstabellen per Filter einschränken</li><li>Dimensionen sternförmig mit der Faktentabelle joinen</li><li>Kennzahlen per Group By und Aggregation verdichten</li><li>Ergebnisse sortieren oder weiter analysieren</li></ol>","week-1 ws25-26 data-warehousing star-join source::kapitel-1-data-warehouses---einfuehrung"
"Welche Kernmerkmale nennt die Vorlesung für OLAP?","<ul><li>Interaktive mehrdimensionale Analyse auf konsolidierten Unternehmensdaten</li><li>Skalierbarkeit auf große Datenmengen</li><li>Stabile Antwortzeiten für analytische Abfragen</li><li>Mehrbenutzerunterstützung in Client-Server-Umgebungen</li><li>Dimensionsübergreifende Operationen und Aggregationsebenen</li></ul><br><br><div class=""legend"">OLAP: Online Analytical Processing<br>FASMI: Fast Analysis of Shared Multidimensional Information</div>","week-1 ws25-26 data-warehousing olap-features source::kapitel-1-data-warehouses---einfuehrung"
"Was beschreibt Knowledge Discovery im Kontext Data Mining?","Eine teilweise automatisierte Wissensextraktion aus Daten durch Kombination von Datenbankverfahren, Statistik und maschinellem Lernen","week-1 ws25-26 data-warehousing data-mining knowledge-discovery source::kapitel-1-data-warehouses---einfuehrung"
"Welche fünf V prägen Big Data laut Einführung?","<ul><li><strong>Volume</strong>: Sehr große Datenmengen</li><li><strong>Velocity</strong>: Hohe Geschwindigkeit von Datenströmen und Analysen</li><li><strong>Variety</strong>: Heterogene strukturierte, teilstrukturierte und unstrukturierte Daten</li><li><strong>Veracity</strong>: Datenqualität und Glaubwürdigkeit</li><li><strong>Value</strong>: Gewinnung nutzbarer Informationen</li></ul>","week-1 ws25-26 data-warehousing big-data source::kapitel-1-data-warehouses---einfuehrung"
