"Was ist der Support einer Elementmenge \(I\)?","<blockquote>Der <strong>Support</strong> von \(I\) ist der Anteil der Warenkörbe, die <strong>alle Elemente</strong> aus \(I\) enthalten.</blockquote>","week-5 ws-25-26 support frequent-itemsets association-rules data-mining source::kapitel-5---folien"
"Wann ist eine Elementmenge \(I\) eine häufige Elementmenge?","<blockquote>\(I\) ist <strong>häufig</strong>, wenn \(\text{sup}(I) \ge s\).</blockquote>","week-5 ws-25-26 frequent-itemsets support association-rules data-mining source::kapitel-5---folien"
"Wie ist die Konfidenz einer Assoziationsregel \(I \to j\) definiert?","<blockquote>\[\text{conf}(I to j)=\frac{\text{sup}(I \cup \{j\})}{\text{sup}(I)}\]</blockquote>","week-5 ws-25-26 confidence association-rules data-mining source::kapitel-5---folien"
"Welche beiden Schwellenwerte bestimmen, ob eine Regel \(I \to j\) ausgegeben wird?","<ul><li><strong>Support-Schwelle</strong>: \(\text{sup}(I \cup \{j\}) \ge s\)</li><li><strong>Konfidenz-Schwelle</strong>: \(\text{conf}(I to j) \ge c\)</li></ul>","week-5 ws-25-26 support confidence association-rules data-mining source::kapitel-5---folien"
"Welche Monotonieeigenschaft nutzen häufige Elementmengen im A-Priori-Algorithmus?","<ul><li>Für \(J \subseteq I\) gilt: \(\text{sup}(I) \le \text{sup}(J)\).</li><li><strong>Folge:</strong> Ist \(J\) nicht häufig, kann keine Obermenge von \(J\) häufig sein.</li></ul>","week-5 ws-25-26 apriori frequent-itemsets monotonicity data-mining source::kapitel-5---folien"
"Wie findet A-Priori häufige Paare mit zwei Durchläufen?","<ol><li><strong>1. Durchlauf:</strong> Zähle alle einzelnen Elemente und behalte die häufigen.</li><li><strong>2. Durchlauf:</strong> Zähle Paare nur, wenn <strong>beide Elemente häufig</strong> sind.</li></ol>","week-5 ws-25-26 apriori frequent-itemsets pairs data-mining source::kapitel-5---folien"
"Wann ist eine k-Elementmenge ein Kandidat im A-Priori-Algorithmus?","<blockquote>Eine k-Elementmenge ist Kandidat, wenn <strong>alle</strong> \((k-1)\)-elementigen Teilmengen häufig sind.</blockquote>","week-5 ws-25-26 apriori candidate-generation frequent-itemsets data-mining source::kapitel-5---folien"
"Worin besteht die Besonderheit des PCY-Algorithmus im Vergleich zu A-Priori?","<table><thead><tr><th>A-Priori</th><th>PCY</th></tr></thead><tbody><tr><td>Zählt im 1. Durchlauf nur Einzel-Items.</td><td>Zählt im 1. Durchlauf zusätzlich <strong>Hash-Buckets für Paare</strong>.</td></tr><tr><td>Alle Paare häufiger Items sind Kandidaten.</td><td><strong>Bit-Vektor</strong> filtert Paare, deren Bucket-Anteil &lt; s ist.</td></tr><tr><td>Mehr Kandidaten im 2. Durchlauf.</td><td><strong>Weniger Kandidaten</strong> im 2. Durchlauf.</td></tr></tbody></table>","week-5 ws-25-26 pcy apriori comparison frequent-itemsets data-mining source::kapitel-5---folien"
"Warum kann ein PCY-Bucket mit Anteil < s keine häufigen Paare enthalten?","<blockquote>Ein Paar kann höchstens so oft auftreten wie sein <strong>Bucket</strong>. Ist der Bucket-Anteil < \(s\), kann kein Paar darin \(\text{sup} \ge s\) erreichen.</blockquote>","week-5 ws-25-26 pcy pruning support frequent-itemsets data-mining source::kapitel-5---folien"
"Wann wird ein Paar {i, j} im 2. Durchlauf des PCY-Algorithmus gezählt?","<ul><li>Beide Elemente \(i\) und \(j\) sind <strong>häufig</strong>.</li><li>Das Paar hasht in einen Bucket mit <strong>Bit-Wert 1</strong>.</li></ul>","week-5 ws-25-26 pcy algorithm frequent-itemsets data-mining source::kapitel-5---folien"
"Was sind die Hauptschritte im Algorithmus von Toivonen?","<ol><li><strong>Stichprobe</strong> ziehen und Kandidaten mit \(s\prime=0{.}9\cdot s\) bestimmen.</li><li><strong>Negative Grenze</strong> der Kandidaten bilden.</li><li><strong>Gesamtdatensatz</strong>: Kandidaten und negative Grenze zählen.</li><li>Falls ein Element der <strong>negativen Grenze häufig</strong> ist, mit neuer Stichprobe neu starten.</li></ol>","week-5 ws-25-26 toivonen sampling frequent-itemsets data-mining source::kapitel-5---folien"
"Wie ist die negative Grenze (negative border) im Toivonen-Algorithmus definiert?","<blockquote>\(I\) liegt in der <strong>negativen Grenze</strong>, wenn \(I\) <strong>kein Kandidat</strong> ist, aber <strong>alle direkten Untermengen</strong> Kandidaten (oder leer) sind.</blockquote>","week-5 ws-25-26 toivonen negative-border frequent-itemsets data-mining source::kapitel-5---folien"
"Worin unterscheidet sich Toivonen grundlegend von A-Priori?","<table><thead><tr><th>A-Priori</th><th>Toivonen</th></tr></thead><tbody><tr><td>Mehrere vollständige Durchläufe über den Datensatz.</td><td><strong>Stichprobe</strong> + ein Durchlauf zur Verifikation.</td></tr><tr><td>Keine Stichprobe, keine negative Grenze.</td><td><strong>Negative Grenze</strong> verhindert False Negatives.</td></tr><tr><td>Deterministisch.</td><td>Kann <strong>wiederholt</strong> werden, wenn negative Grenze häufig ist.</td></tr></tbody></table>","week-5 ws-25-26 toivonen apriori comparison sampling data-mining source::kapitel-5---folien"
