"Welche vier Bedrohungskategorien umfasst das Android-Threat-Model auf hoher Ebene?","<ul><li><strong>Physische Nähe des Angreifers</strong></li><li><strong>Unsichere Netzwerke</strong></li><li><strong>Nicht vertrauenswürdiger Code</strong></li><li><strong>Nicht vertrauenswürdiger Inhalt</strong></li></ul>","week-6 WS25/26 mobile-security android threat-model it-sicherheit source::06-mobile-security"
"Welche Eigenschaften machen Mobilgeräte gegenüber PCs zu besonderen Sicherheitszielen?","<ul><li><strong>Physische Exponiertheit</strong> (nicht wegschließbar)</li><li><strong>Begrenzte Ressourcen</strong> (v. a. Batterie, Speicher, Bandbreite)</li><li><strong>Usability</strong> mit neuen Authentifizierungsformen</li><li><strong>Ort und Nutzerkontext</strong> als Sicherheitsfaktor</li><li><strong>Enge Kopplung</strong> mit Dienstleistern/Herstellern/Geräten</li><li><strong>Pay-per-Use Dienste</strong> (z. B. Premium-SMS, In-App-Käufe)</li></ul>","week-6 WS25/26 mobile-security it-sicherheit eigenschaften source::06-mobile-security"
"Was bedeutet das Android-Prinzip Multi-Party Consent?","<blockquote>Keine Aktion wird ausgeführt, wenn nicht alle Hauptparteien zustimmen.</blockquote><ul><li><strong>Beteiligte</strong>: User, Plattform (OS/Hersteller/Provider), Developer</li><li><strong>Zustimmung</strong>: App sieht Funktion vor, Nutzer erteilt Recht/Interaktion, Content-Producer liefert Daten, OS erlaubt den Vorgang</li></ul>","week-6 WS25/26 mobile-security android security-model multi-party-consent it-sicherheit source::06-mobile-security"
"Was bedeutet Open Ecosystem Access im Android-Sicherheitsmodell?","<ul><li>Apps dürfen auch <strong>außerhalb des Hersteller-App-Stores</strong> installierbar sein.</li><li>Sicherheitsmechanismen müssen <strong>nicht legitimierten Code</strong> berücksichtigen.</li><li>Prinzip ist eine <strong>Design-Philosophie</strong>, nicht die eines geschlossenen Ökosystems.</li></ul>","week-6 WS25/26 mobile-security android security-model open-ecosystem-access it-sicherheit source::06-mobile-security"
"Was bedeutet Security is a Compatibility Requirement im Android-Sicherheitsmodell?","<ul><li>Das <strong>Sicherheitsmodell ist Teil der Android-Spezifikation</strong>.</li><li>Geräte/Apps, die es nicht umsetzen, gelten <strong>nicht als Android-kompatibel</strong>.</li><li>Gerootete Geräte bieten <strong>keine zugesicherte Funktion oder Garantie</strong> für Apps.</li><li>Verified Boot und Hardware-Keys dienen als <strong>Trust Base</strong>.</li></ul>","week-6 WS25/26 mobile-security android security-model compatibility it-sicherheit source::06-mobile-security"
"Was bedeutet Factory Reset Restores a Safe State?","<ul><li>Ein <strong>Factory Reset</strong> löscht alle beschreibbaren Partitionen.</li><li>Das Gerät kehrt in einen Zustand zurück, der nur von <strong>integrity-protected Partitionen</strong> abhängt.</li><li>Damit gibt es einen <strong>einfachen Weg</strong> vom kompromittierten zum sicheren Gerät.</li></ul>","week-6 WS25/26 mobile-security android security-model factory-reset it-sicherheit source::06-mobile-security"
"Was bedeutet Applications are Security Principals?","<ul><li>Apps sind <strong>keine vollständig autorisierten Agenten</strong> für Nutzeraktionen.</li><li>Sie laufen mit <strong>App-Rechten</strong>, nicht mit User-Rechten.</li><li>Im Default-Zustand dürfen Apps nur <strong>unkritische Aktionen</strong> ausführen.</li><li>Für Kritisches gilt <strong>Multi-Party Consent</strong>.</li></ul>","week-6 WS25/26 mobile-security android security-model security-principals it-sicherheit source::06-mobile-security"
"Welche zwei Kernmechanismen nennt das Kapitel, um eine vertrauenswürdige Android-Plattform herzustellen?","<ul><li><strong>Verified Boot</strong>: startet nachweisbar unmanipulierten Code.</li><li><strong>Trusted Execution Environment (TEE)</strong>: zuverlässige Dienste in separater Umgebung.</li></ul>","week-6 WS25/26 mobile-security android platform-security verified-boot tee it-sicherheit source::06-mobile-security"
"Welches Sicherheitsproblem adressiert der Rollback-Schutz von Android Verified Boot 2.0?","<ul><li>Verhindert, dass ein <strong>älteres, aber gültig signiertes</strong> OS-Image mit bekannten Schwachstellen gebootet wird.</li><li>Dazu wird die <strong>Versionsnummer</strong> des letzten Images in geschütztem Speicher gehalten.</li></ul>","week-6 WS25/26 mobile-security android verified-boot rollback-protection it-sicherheit source::06-mobile-security"
"Welche Aufgaben übernimmt ein Trusted Execution Environment (TEE) in Android?","<ul><li><strong>Schlüsselerzeugung</strong> und <strong>Zufallszahlen</strong></li><li><strong>Signieren/Verifizieren</strong></li><li><strong>Ver- und Entschlüsseln</strong> von Daten</li><li><strong>Keymaster</strong>: nicht auslesbare Schlüssel, nur nutzbar für Krypto</li><li><strong>Sicherer Speicher</strong> für Biometrie (Fingerprint/Face-ID)</li><li><strong>DRM</strong> und vertrauliche Hardware-Kommunikation</li></ul>","week-6 WS25/26 mobile-security android tee platform-security it-sicherheit source::06-mobile-security"
"Warum ist eine Sandbox in Android trotz Berechtigungsmodell notwendig?","<ul><li>Sie <strong>isoliert Apps</strong> in getrennten Prozessen und Adressräumen.</li><li>Sie verhindert <strong>Bypass</strong> der Rechteprüfung.</li><li>Sie begrenzt die Auswirkungen von <strong>Exploits</strong> (z. B. Privilege Escalation).</li></ul>","week-6 WS25/26 mobile-security android sandbox permissions it-sicherheit source::06-mobile-security"
"Wie setzt Android die Isolation und Zugriffskontrolle technisch um?","<ul><li><strong>Linux + SELinux</strong> für Mandatory Access Control (MAC).</li><li><strong>Per-App Android User-ID (AID)</strong> für Prozessisolation.</li><li><strong>Kernel</strong> überwacht Ressourcen- und Prozesszugriffe.</li><li>Bei Ressourcen ohne MAC wird der <strong>Package-Name im Pfad</strong> kodiert (z. B. /sdcard/Android/data/&lt;Packagename&gt;).</li></ul>","week-6 WS25/26 mobile-security android sandbox selinux access-control it-sicherheit source::06-mobile-security"
"Welche Schutzlevel von Android-Permissions gibt es und wofür stehen sie?","<table><thead><tr><th>Schutzlevel</th><th>Merkmal</th></tr></thead><tbody><tr><td><strong>Normal</strong></td><td>Geringes Risiko; kann bei Installation automatisch gewährt werden.</td></tr><tr><td><strong>Dangerous</strong></td><td>Hohes Risiko; Nutzer muss zur Laufzeit explizit zustimmen.</td></tr><tr><td><strong>Signature</strong></td><td>Nur für Apps mit derselben Signatur wie der bereitstellende Code.</td></tr><tr><td><strong>Signature or System</strong></td><td>Signatur des bereitstellenden Codes oder des OS-Images.</td></tr></tbody></table>","week-6 WS25/26 mobile-security android permissions protection-levels it-sicherheit source::06-mobile-security"
"Wie unterscheiden sich Install-time, Runtime, Special und Signature Permissions in Android?","<ul><li><strong>Install-time</strong>: Schutzlevel <em>normal</em>, automatische Vergabe bei Installation.</li><li><strong>Runtime</strong>: Schutzlevel <em>dangerous</em>, explizite Zustimmung zur Laufzeit.</li><li><strong>Special</strong>: besondere gefährliche Rechte, die aktive Aktion im Systemdialog erfordern.</li><li><strong>Signature</strong>: Rechte für Apps mit passender Signatur, nicht vom Nutzer vergeben.</li></ul>","week-6 WS25/26 mobile-security android permissions rights-management it-sicherheit source::06-mobile-security"
"Worin liegt der zentrale Sicherheitsfortschritt von 3G/4G/5G gegenüber 2G bei der Authentifizierung?","<table><thead><tr><th>Generation</th><th>Authentifizierung</th></tr></thead><tbody><tr><td><strong>2G (GSM/GPRS/EDGE)</strong></td><td>Nur das Mobilgerät authentifiziert sich; das Netzwerk bleibt <strong>unauthentifiziert</strong> (IMSI-Catcher möglich).</td></tr><tr><td><strong>3G+ (UMTS/LTE/4G/5G)</strong></td><td><strong>Gegenseitige Authentifizierung</strong> und stärkere Schlüssel; Steuerdaten sind geschützt.</td></tr></tbody></table><ul><li><strong>Hinweis</strong>: Abwärtskompatibilität kann auf unsicherere Standards zurückfallen.</li></ul>","week-6 WS25/26 mobile-security authentication 3g 4g 5g it-sicherheit source::06-mobile-security"
"Wie verhindern 4G/5G-Authentifizierungen Replay-Angriffe?","<ul><li>USIM und HSS führen eine <strong>Sequence Number (SQN)</strong>.</li><li>Nach jeder Authentifizierung wird SQN erhöht.</li><li>Alte Nachrichten mit <strong>verbrannter SQN</strong> sind ungültig.</li></ul>","week-6 WS25/26 mobile-security authentication 4g 5g usim hss it-sicherheit source::06-mobile-security"
"Welche sicherheitsrelevanten Vor- und Nachteile bringt die eSIM?","<ul><li><strong>Pro</strong>: Keine physische USIM (Diebstahl/Logistik), Remote Lock-and-Wipe möglich.</li><li><strong>Contra</strong>: Neue Angriffswege wie gefälschte Profile/QR-Codes oder Profile-Angriffe.</li></ul>","week-6 WS25/26 mobile-security authentication esim it-sicherheit source::06-mobile-security"
